date, pm25, pm10, o3, no2, so2, co
2019/12/3, 77, 29, , 22, , 5
2019/12/4, 91, 46, , 28, , 6
2019/12/5, 106, 44, , 23, , 6
2019/12/6, 108, 24, , 14, , 4
2019/12/7, 75, 15, , 13, , 4
2019/12/8, 55, 23, , 22, , 6
2019/12/9, 72, 19, , 19, , 4
2019/12/10, 65, 35, , 23, , 6
2019/12/11, 101, 38, , 21, , 6
2019/12/12, 104, 24, , 11, , 4
2019/12/13, 80, 22, , 14, , 5
2019/12/14, 74, 14, , 17, , 4
2019/12/15, 50, 28, , 25, , 7
2019/12/16, 80, 42, , 24, , 8
2019/12/17, 117, 35, , 22, , 7
2019/12/18, 94, 39, , 24, , 8
2019/12/19, 114, 33, , 18, , 5
2019/12/20, 96, 33, , 20, , 6
2019/12/21, 89, 20, , 12, , 5
2019/12/22, 70, 19, , 15, , 7
2019/12/23, 68, 16, , 11, , 4
2019/12/24, 62, 23, , 12, , 5
2019/12/25, 76, 17, , 7, , 4
2019/12/26, 64, 14, , 12, , 5
2019/12/27, 55, 19, , 13, , 4
2019/12/28, 47, 29, , 16, , 4
2019/12/29, 65, , , , , 
2019/7/1, 55, 36, , 19, , 4
2019/7/2, 47, 30, , 17, , 3
2019/7/3, 42, 32, , 22, , 4
2019/7/4, 43, 25, , 16, , 3
2019/7/5, 43, 21, , 15, , 4
2019/7/6, 46, 20, , 9, , 3
2019/7/7, 49, 23, , 12, , 3
2019/7/8, 36, 17, , 13, , 4
2019/7/9, 40, 21, , 16, , 4
2019/7/10, 48, 25, , 21, , 5
2019/7/11, 47, 28, , 29, , 6
2019/7/12, 51, 33, , 26, , 6
2019/7/13, 60, 17, , 15, , 4
2019/7/14, 37, 26, , 28, , 5
2019/7/15, 40, 30, , 19, , 4
2019/7/16, 59, 24, , 18, , 5
2019/7/17, 48, 29, , 29, , 7
2019/7/18, 49, 37, , 34, , 7
2019/7/19, 56, 28, , 23, , 5
2019/7/20, 65, 25, , 15, , 5
2019/7/21, 59, 27, , 21, , 5
2019/7/22, 46, 35, , 24, , 5
2019/7/23, 55, 30, , 26, , 6
2019/7/24, 53, 31, , 29, , 6
2019/7/25, 50, 20, , 12, , 3
2019/7/26, 44, 19, , 8, , 3
2019/7/27, 49, 23, , 11, , 4
2019/7/28, 62, 26, , 23, , 5
2019/7/29, 66, 36, , 29, , 6
2019/7/30, 74, 24, , 17, , 4
2019/7/31, 48, 32, , 30, , 5
2019/8/1, 50, 35, , 26, , 6
2019/8/2, 60, 31, , 20, , 4
2019/8/3, 56, 24, , 15, , 3
2019/8/4, 44, 34, , 33, , 6
2019/8/5, 54, 35, , 35, , 5
2019/8/6, 60, 34, , 33, , 6
2019/8/7, 60, 25, , 21, , 4
2019/8/8, 56, 24, , 25, , 4
2019/8/9, 49, 23, , 15, , 3
2019/8/10, 50, 22, , 22, , 5
2019/8/11, 45, 29, , 28, , 5
2019/8/12, 58, 33, , 28, , 5
2019/8/13, 64, 30, , 33, , 7
2019/8/14, 53, 21, , 24, , 4
2019/8/15, 47, 29, , 26, , 5
2019/8/16, 57, 34, , 26, , 5
2019/8/17, 66, 22, , 19, , 4
2019/8/18, 50, 24, , 25, , 6
2019/8/19, 47, 24, , 21, , 5
2019/8/20, 52, 21, , 27, , 6
2019/8/21, 50, 19, , 20, , 4
2019/8/22, 51, 21, , 21, , 4
2019/8/23, 47, 24, , 16, , 4
2019/8/24, 52, 19, , 9, , 3
2019/8/25, 48, 26, , 15, , 4
